otu	sim	del	ins	mis	len	score	hit
93	denovo126532	75	17	18	46	324	291	C49_AY589754
94	denovo251661	74.2	21	21	55	376	291	D1.2_AM748617
95	denovo54465	76.14	13	12	48	306	291.5	I1_FN561559
96	denovo123505	75.93	19	23	36	324	292	C49_AY589754
97	denovo52052	76.23	17	22	38	324	293.5	C49_AY589754
98	denovo201233	74.92	12	13	50	299	294	F3.2_AM748567
99	denovo222210	74.92	12	13	50	299	294	F3.2_AM748567
100	denovo173351	81.6	7	34	67	587	294.5	H6_AJ291520
101	denovo98409	81.91	9	20	39	376	295	D1.2_AM748617
102	denovo194139	73.81	10	17	50	294	296.5	F1_JN558066
103	denovo25953	73.81	10	17	50	294	296.5	F1_JN558066
104	denovo5636	77.45	11	16	42	306	296.5	I4_FN561562;I3_FN561561
105	denovo243387	67.25	15	12	66	284	297	F110_AJ291526
106	denovo88592	73.81	15	14	48	294	297.5	F5.1a_AM748591;F5.1_AM748592
107	denovo88592	73.53	17	14	50	306	297.5	I1_FN561559
108	denovo21428	75.3	22	11	29	251	299	A15b_EU792886
109	denovo255594	75.3	22	11	29	251	299	A15b_EU792886
110	denovo18992	74.61	9	11	45	256	299	A134_DQ174723
111	denovo153955	79.38	14	15	31	291	299	C1195_EU099821
112	denovo226872	77.55	13	14	39	294	299	F5.2c_AM748596
113	denovo126375	79.79	11	20	45	376	299	D1.2_AM748617
114	denovo207	75.82	10	15	49	306	300.5	I1_FN561559
115	denovo43977	74.73	18	17	58	368	300.5	D1.1_AM748564
116	denovo63605	73.81	13	14	50	294	301	F5.1b_AJ291535
117	denovo63605	72.11	14	16	52	294	301	F1_JN558066
118	denovo216354	75.93	12	13	46	295	301	F3.4_AM748570
119	denovo47238	73.2	14	15	38	250	302	A115_AF180123
120	denovo171100	69.6	8	14	54	250	302.5	A119_AF180121
121	denovo243448	72.44	18	12	48	283	302.5	C35.1_AY765401
122	denovo246718	71.02	19	13	50	283	303.5	C35.1_AY765401
123	denovo129102	70.85	11	19	56	295	304	F3.4b_AM748616
124	denovo46672	70.77	12	14	57	284	305	F109_AJ291527
125	denovo229933	78.76	9	17	39	306	305.5	I3_FN561561
126	denovo129368	71.91	14	16	54	299	306	F3.2a_AM748568
127	denovo17864	76.47	12	12	36	255	306.5	A111_AB190280
128	denovo215339	70.07	12	11	62	284	306.5	F109_AJ291527
129	denovo145100	72.13	11	13	56	287	306.5	G3.1_KC597688
130	denovo19474	75.59	11	16	45	295	307	F3.4_AM748570;F3.4b_AM748616
131	denovo39019	73.9	9	14	54	295	307.5	F3.3_AM748569
132	denovo167566	73.56	9	11	58	295	307.5	F3.3_AM748569
133	denovo208401	70.42	13	12	59	284	308	F110_AJ291526
134	denovo128666	72.88	12	16	55	306	309	I1_FN561559
135	denovo160850	73.9	9	12	56	295	309.5	F3.3_AM748569
136	denovo160774	76.33	13	17	59	376	309.5	D1.2_AM748617
137	denovo104015	74.11	8	15	50	282	310	F4.3a_AM748579
138	denovo192688	71.13	11	9	62	284	310	F110_AJ291526
139	denovo21380	72.22	19	13	53	306	310	I3_FN561561
140	denovo56844	75.85	11	18	42	294	310.5	F5.2c_AM748596
141	denovo24101	73.13	12	14	53	294	310.5	F5.2f_AJ291512
142	denovo194403	73.4	10	11	54	282	311	F3.1a_AM748566
143	denovo13665	74.24	7	17	52	295	311	F3.4a_AM748571
144	denovo151328	75.25	7	13	53	295	311	F3.4_AM748570;F3.4b_AM748616
145	denovo52595	73.86	13	16	51	306	311	I2_FN561560
146	denovo56045	73.86	13	16	51	306	311	I2_FN561560
147	denovo194403	72.88	9	17	57	306	311	I1_FN561559
148	denovo70790	75.17	12	15	46	294	311.5	F5.2f_AJ291512
149	denovo30577	74.49	15	11	49	294	312.5	F5.2g_JN558072
150	denovo211964	73.22	10	15	54	295	313	F3.4_AM748570;F3.4b_AM748616
151	denovo77443	76.53	12	15	42	294	313.5	F1_JN558066
152	denovo122813	72.34	21	19	64	376	314	D1.2_AM748617
153	denovo91330	75	7	15	54	304	314.5	F3.1a_AM748566
154	denovo188804	74.84	13	10	54	306	314.5	I2_FN561560
155	denovo269287	73.53	15	12	54	306	314.5	I1_FN561559
156	denovo70178	77.2	10	11	36	250	315	A115_AF180123
157	denovo74930	73.24	12	18	50	299	315	F3.2_AM748567
158	denovo82243	75.85	13	15	43	294	315.5	F5.2c_AM748596
159	denovo98258	72.47	16	14	49	287	316.5	G3.3_LK392377
160	denovo98258	72.82	14	13	51	287	316.5	G3_AM748600
161	denovo209764	78.23	11	16	37	294	316.5	F5.2g_JN558072
162	denovo191099	72.54	12	15	51	284	317	F109_AJ291527
163	denovo207865	74.83	11	13	50	294	317	F1_JN558066
164	denovo234053	74.24	7	17	52	295	317	F3.4a_AM748571
165	denovo135825	75.16	16	14	46	306	317.5	I4_FN561562
166	denovo89137	70.75	14	15	57	294	318	F5.2g_JN558072
167	denovo223733	81.26	21	32	57	587	318.5	H6_AJ291520
168	denovo94209	72.69	10	10	48	249	319	A120_AF180122
169	denovo18895	71.99	14	13	52	282	319	F4.3a_AM748579
170	denovo43965	72.55	16	18	50	306	319	I1_FN561559
171	denovo52582	75.17	14	11	48	294	319.5	F5.2g_JN558072
172	denovo163771	71.54	25	19	63	376	319.5	D1.2_AM748617
173	denovo188803	74.38	10	13	49	281	320	F4.6_AM748586
174	denovo239098	74.18	13	16	50	306	320	I2_FN561560
175	denovo198646	83.3	16	26	51	557	320	H6_AJ291520
176	denovo256532	76.87	13	15	40	294	320.5	F5.1c_AM748593
177	denovo152818	74.15	11	16	49	294	320.5	F5.2c_AM748596
178	denovo265	79.26	12	18	32	299	322	F3.2a_AM748568
179	denovo113575	72.61	13	22	68	376	322	D1.2_AM748617
180	denovo52134	74.47	9	21	66	376	322.5	D1.2_AM748617
181	denovo223092	73.81	14	15	48	294	323	F5.1c_AM748593
182	denovo269766	73.13	13	15	51	294	323	F5.1a_AM748591;F5.1b_AJ291535
183	denovo223092	71.77	14	15	54	294	323	F5.1a_AM748591
184	denovo54310	74.34	8	18	52	304	323	F3.1a_AM748566
185	denovo44035	72.6	11	15	51	281	323.5	F4.6_AM748586
186	denovo21584	66.67	18	11	69	294	323.5	F5.1_AM748592
187	denovo136565	75.35	8	16	46	284	324	F4.5_AM748585
188	denovo231594	76.87	13	15	40	294	325.5	F1_JN558066
189	denovo62473	72.22	14	13	58	306	326	I3_FN561561
190	denovo195349	79.73	17	38	64	587	326	H6_AJ291520
191	denovo140474	71.88	10	11	51	256	326.5	A136_DQ865210
192	denovo24143	76.8	7	14	50	306	326.5	I1_FN561559
193	denovo267701	70.31	14	12	50	256	327.5	A136_DQ865210
194	denovo113846	66.67	20	11	67	294	327.5	F5.1_AM748592
195	denovo208319	66.67	20	11	67	294	327.5	F5.1_AM748592
196	denovo255802	66.67	20	11	67	294	327.5	F5.1_AM748592
197	denovo266743	66.67	20	11	67	294	327.5	F5.1_AM748592
198	denovo66844	66.67	20	11	67	294	327.5	F5.1_AM748592
199	denovo7353	66.67	20	11	67	294	327.5	F5.1_AM748592
200	denovo113846	65.65	17	11	73	294	327.5	F5.1a_AM748591
201	denovo255802	65.65	17	11	73	294	327.5	F5.1a_AM748591
202	denovo266743	65.65	17	11	73	294	327.5	F5.1a_AM748591
203	denovo66844	65.65	17	11	73	294	327.5	F5.1a_AM748591
204	denovo7353	65.65	17	11	73	294	327.5	F5.1a_AM748591
205	denovo59295	73.9	7	15	55	295	327.5	F3.4_AM748570;F3.4b_AM748616;F3.4a_AM748571
206	denovo218795	73.97	17	18	41	292	328.5	F2_AJ830908
207	denovo19493	78.99	8	18	53	376	328.5	D1.2_AM748617
208	denovo249613	74.65	8	17	47	284	329	F4.5_AM748585
209	denovo6887	70.23	17	11	61	299	329	F3.2a_AM748568
210	denovo189785	75	17	13	46	304	329.5	F3.1_AM748565
211	denovo74037	75	17	13	46	304	329.5	F3.1_AM748565
212	denovo203410	72.34	13	16	49	282	330	F4.3a_AM748579
213	denovo210398	72.88	13	16	54	306	330	I2_FN561560
214	denovo16939	75	16	13	47	304	330.5	F3.1_AM748565
215	denovo30012	75	16	13	47	304	330.5	F3.1_AM748565
216	denovo64394	75	16	13	47	304	330.5	F3.1_AM748565
217	denovo184900	74.34	12	14	52	304	331.5	F3.1a_AM748566
218	denovo191553	74.02	11	15	47	281	332	F4.6_AM748586
219	denovo201154	74.67	8	18	51	304	332	F3.1a_AM748566
220	denovo78473	74.67	8	18	51	304	332	F3.1a_AM748566
221	denovo209011	71.38	14	12	61	304	332	F3.1_AM748565
222	denovo146342	81.09	13	33	65	587	332.5	H6_AJ291520
223	denovo88591	73.02	11	10	54	278	334	B119_EU099825
224	denovo193489	70.92	10	13	66	306	334	I1_FN561559
225	denovo48697	73.03	10	16	56	304	334.5	F3.1a_AM748566
226	denovo98436	77.59	13	13	41	299	335	F3.2a_AM748568
227	denovo123530	74.18	14	14	51	306	335	I3_FN561561
228	denovo156960	68.3	18	15	64	306	335	I1_FN561559
229	denovo196792	74.83	14	17	43	294	337.5	F5.2f_AJ291512
230	denovo230165	75.85	11	14	46	294	337.5	F1_JN558066
231	denovo244834	65.99	16	11	73	294	337.5	F5.1a_AM748591
232	denovo76191	71.54	20	15	72	376	337.5	D1.2_AM748617
233	denovo47621	69.61	19	17	57	306	338	I1_FN561559
234	denovo72262	72.7	13	16	48	282	339	F4.3a_AM748579
235	denovo28426	71.24	18	15	55	306	339	I4_FN561562
236	denovo89999	70.57	20	10	53	282	341	F4.3a_AM748579
237	denovo68725	72.88	17	14	52	306	341	I1_FN561559
238	denovo154847	72.94	17	13	39	255	344.5	A106_AB207200
239	denovo154847	72.55	17	10	43	255	344.5	A104_AB207203
240	denovo50200	76.53	10	13	46	294	345	F1_JN558066
241	denovo48804	75.82	14	19	41	306	345.5	I2_FN561560
242	denovo258873	77.89	11	13	41	294	347	F5.2f_AJ291512
243	denovo17698	74.73	11	16	68	376	347	D1.2_AM748617
244	denovo20769	76.8	9	13	49	306	348	I1_FN561559
245	denovo260046	70.59	22	13	55	306	348	I1_FN561559
246	denovo33078	75.35	14	13	43	284	348.5	F109_AJ291527
247	denovo33078	74.65	15	12	45	284	348.5	F4.8_AM748588
248	denovo97629	72.55	11	17	56	306	349.5	I2_FN561560
249	denovo8034	72.88	16	14	53	306	350	I2_FN561560
250	denovo55325	78.1	8	15	44	306	350.5	I2_FN561560;I1_FN561559
251	denovo184902	74.18	13	12	54	306	351	I4_FN561562;I3_FN561561
252	denovo63938	76.47	16	18	38	306	352	I1_FN561559
253	denovo110244	71.37	13	11	49	255	353.5	A106_AB207200
254	denovo149513	72.55	15	14	55	306	353.5	I2_FN561560
255	denovo171312	72.55	15	14	55	306	353.5	I2_FN561560
256	denovo181079	72.55	15	14	55	306	353.5	I2_FN561560
257	denovo41212	78.46	12	19	50	376	353.5	D1.2_AM748617
258	denovo152255	73.84	12	18	43	279	356	B1.VI_Green2014
259	denovo93987	77.3	9	11	44	282	356	F4.4_AM748582
260	denovo176993	70.75	20	12	54	294	356.5	F5.2g_JN558072
261	denovo50265	76.25	20	8	43	299	357.5	F3.2a_AM748568
262	denovo11356	73.91	19	10	49	299	358	F3.2a_AM748568;F3.2_AM748567
263	denovo160546	73.91	19	10	49	299	358	F3.2a_AM748568;F3.2_AM748567
264	denovo11356	73.86	14	15	51	306	358	I1_FN561559
265	denovo160546	73.86	14	15	51	306	358	I1_FN561559
266	denovo18145	73.86	14	15	51	306	358	I1_FN561559
267	denovo229144	71.24	11	17	60	306	358	I1_FN561559
268	denovo40738	71.24	11	17	60	306	358	I1_FN561559
269	denovo227847	77.26	17	13	38	299	358.5	F3.2a_AM748568
270	denovo156440	77.96	8	18	41	304	358.5	F3.1_AM748565
271	denovo163299	76.47	15	15	42	306	358.5	I2_FN561560
272	denovo14189	68.75	14	9	72	304	359	F3.1a_AM748566
273	denovo91469	75.51	13	13	46	294	360.5	F5.2g_JN558072
274	denovo197059	73.91	18	10	50	299	360.5	F3.2a_AM748568
275	denovo26501	73.91	18	10	50	299	360.5	F3.2a_AM748568
276	denovo269683	73.91	18	10	50	299	360.5	F3.2a_AM748568
277	denovo208260	76.8	16	18	37	306	361	I1_FN561559
278	denovo23484	76.8	16	18	37	306	361	I1_FN561559
279	denovo137965	72.79	12	15	53	294	361.5	F5.2f_AJ291512
280	denovo155530	72.88	16	14	53	306	361.5	I2_FN561560
281	denovo176826	74.3	13	13	47	284	362	F110_AJ291526
282	denovo105433	73.91	18	10	50	299	362	F3.2a_AM748568
283	denovo237868	73.2	15	13	54	306	362	I1_FN561559
284	denovo105433	72.88	13	14	56	306	362	I1_FN561559
285	denovo213397	76.25	20	9	42	299	362.5	F3.2a_AM748568
286	denovo177128	72.88	15	14	54	306	362.5	I2_FN561560
287	denovo185192	72.88	15	14	54	306	362.5	I2_FN561560
288	denovo254833	72.88	15	14	54	306	362.5	I2_FN561560
289	denovo57090	72.88	15	14	54	306	362.5	I2_FN561560
290	denovo94564	72.88	15	14	54	306	362.5	I2_FN561560
291	denovo11623	71.88	13	14	54	288	363	B6_AF499783
292	denovo61107	73.22	17	17	45	295	363	F3.3_AM748569
293	denovo249333	75.59	20	10	43	299	363	F3.2a_AM748568
294	denovo160640	73.58	18	9	52	299	363	F3.2a_AM748568;F3.2_AM748567
295	denovo122611	72.55	14	13	57	306	363	I1_FN561559
296	denovo249333	72.55	14	13	57	306	363	I1_FN561559
297	denovo98247	72.55	14	13	57	306	363	I1_FN561559
298	denovo124363	73.24	17	14	45	284	364	F109_AJ291527
299	denovo39514	75.59	19	10	44	299	364	F3.2a_AM748568
300	denovo172337	73.53	17	12	52	306	364	I1_FN561559
301	denovo144401	72.55	16	14	54	306	364.5	I1_FN561559
302	denovo143412	72.14	22	10	46	280	365	F4.2b_AM748576
303	denovo156338	72.88	14	14	55	306	365	I1_FN561559
304	denovo67708	68.95	14	14	67	306	365	I1_FN561559
305	denovo57071	72.88	13	14	56	306	366	I1_FN561559
306	denovo208855	73.91	14	10	54	299	366.5	F3.2a_AM748568
307	denovo253317	72.55	15	13	56	306	366.5	I2_FN561560
308	denovo159157	74.25	19	10	48	299	367	F3.2a_AM748568;F3.2_AM748567
309	denovo168860	74.25	19	10	48	299	367	F3.2a_AM748568;F3.2_AM748567
310	denovo18558	74.25	19	10	48	299	367	F3.2a_AM748568;F3.2_AM748567
311	denovo254954	74.25	19	10	48	299	367	F3.2a_AM748568;F3.2_AM748567
312	denovo40565	74.25	19	10	48	299	367	F3.2a_AM748568;F3.2_AM748567
313	denovo92620	74.25	19	10	48	299	367	F3.2a_AM748568;F3.2_AM748567
314	denovo153616	71.05	15	12	61	304	367	F3.1a_AM748566
315	denovo159157	74.18	14	15	50	306	367	I1_FN561559
316	denovo168860	74.18	14	15	50	306	367	I1_FN561559
317	denovo18558	74.18	14	15	50	306	367	I1_FN561559
318	denovo227684	74.18	14	15	50	306	367	I1_FN561559
319	denovo250061	74.18	14	15	50	306	367	I1_FN561559
320	denovo37644	74.18	14	15	50	306	367	I1_FN561559
321	denovo4987	74.18	14	15	50	306	367	I1_FN561559
322	denovo93495	74.18	14	15	50	306	367	I1_FN561559
323	denovo54834	72.22	14	12	59	306	367	I1_FN561559
324	denovo181297	70.2	12	8	56	255	367.5	A103_AB207206;A130_EF656428
325	denovo2364	73.67	15	13	46	281	367.5	F4.2c_AM748577
326	denovo2364	76.59	17	14	39	299	367.5	F3.2a_AM748568
327	denovo201853	73.24	18	9	53	299	367.5	F3.2a_AM748568
328	denovo69804	74.58	20	11	45	299	368	F3.2a_AM748568;F3.2_AM748567
329	denovo3607	77.12	10	17	43	306	368	I4_FN561562;I3_FN561561
330	denovo169181	71.76	12	12	48	255	368.5	A106_AB207200
331	denovo81899	73.59	12	12	51	284	368.5	F110_AJ291526
332	denovo33866	75.92	20	10	42	299	369	F3.2a_AM748568;F3.2_AM748567
333	denovo226016	74.51	15	15	48	306	369	I1_FN561559
334	denovo61020	73.2	14	18	50	306	369	I1_FN561559
335	denovo143924	75.82	12	15	47	306	369.5	I3_FN561561
336	denovo69524	73.94	18	10	46	284	370	F4.8_AM748588;F4.8b_AM748590;F4.8a_AM748589
337	denovo69524	73.94	18	9	47	284	370	F109_AJ291527
338	denovo32237	73.13	12	15	52	294	370	F5.2f_AJ291512
339	denovo59044	72.7	13	7	63	304	370	F3.1a_AM748566
340	denovo11450	76.47	8	14	50	306	370	I1_FN561559
341	denovo20980	72.22	12	16	57	306	370.5	I2_FN561560
342	denovo84339	72.22	12	16	57	306	370.5	I2_FN561560
343	denovo140981	71.13	10	10	62	284	371	F110_AJ291526
344	denovo171221	74.92	16	17	42	299	371	F3.2a_AM748568
345	denovo268591	74.25	18	10	49	299	371	F3.2a_AM748568
346	denovo251368	72.91	11	14	56	299	371	F3.2a_AM748568
347	denovo246396	74.51	13	15	50	306	371	I1_FN561559
348	denovo219779	73.86	14	14	52	306	371	I1_FN561559
349	denovo234648	73.86	14	14	52	306	371	I1_FN561559
350	denovo65800	73.86	14	14	52	306	371	I1_FN561559
351	denovo268591	72.55	13	12	59	306	371	I1_FN561559
352	denovo219654	70.59	12	8	55	255	371.5	A103_AB207206;A130_EF656428
353	denovo184584	73.2	15	14	53	306	371.5	I2_FN561560
354	denovo87562	74.84	13	11	53	306	372	I1_FN561559
355	denovo183843	72.88	14	13	56	306	372	I1_FN561559
356	denovo256313	70.46	17	9	57	281	372.5	F4.4a_AM748583
357	denovo96460	73.59	13	16	46	284	372.5	F110_AJ291526
358	denovo223275	73.53	13	14	54	306	372.5	I2_FN561560
359	denovo143005	71.48	10	11	60	284	373	F110_AJ291526
360	denovo267524	76.25	15	15	41	299	373	F3.2_AM748567
361	denovo6454	72.58	9	17	56	299	373	F3.2a_AM748568
362	denovo155969	72.88	13	18	52	306	373	I1_FN561559
363	denovo27367	73.2	14	14	54	306	373	I2_FN561560
364	denovo240699	73.2	12	13	57	306	373.5	I4_FN561562;I3_FN561561
365	denovo218537	74.65	16	9	47	284	374	F110_AJ291526
366	denovo65845	67.32	13	13	74	306	374	I1_FN561559
367	denovo194126	71.24	10	13	65	306	374.5	I4_FN561562;I3_FN561561
368	denovo253167	72.55	15	17	52	306	375	I1_FN561559
369	denovo163860	67.32	13	12	75	306	375	I1_FN561559
370	denovo41303	71.71	16	8	47	251	376	A142_EU074932
371	denovo88539	71.71	16	8	47	251	376	A142_EU074932
372	denovo75113	76.68	15	9	42	283	376	C51_AY589756
373	denovo10239	75.25	8	15	50	295	376	F3.3_AM748569
374	denovo232050	75.25	15	16	43	299	376	F3.2a_AM748568
375	denovo10882	74.58	19	10	47	299	376	F3.2a_AM748568;F3.2_AM748567
376	denovo159159	74.58	19	10	47	299	376	F3.2a_AM748568;F3.2_AM748567
377	denovo150248	72.24	10	16	57	299	376	F3.2a_AM748568
378	denovo103443	74.67	10	11	56	304	376	F3.1a_AM748566
379	denovo141753	74.67	10	11	56	304	376	F3.1a_AM748566
380	denovo150712	74.67	10	11	56	304	376	F3.1a_AM748566
381	denovo227896	74.67	10	11	56	304	376	F3.1a_AM748566
382	denovo159159	74.51	14	15	49	306	376	I1_FN561559
383	denovo251519	74.51	14	15	49	306	376	I1_FN561559
384	denovo15650	71.9	14	17	55	306	376	I1_FN561559
385	denovo184415	71.9	11	9	66	306	376	I1_FN561559
386	denovo199188	71.76	16	10	46	255	376.5	A1.1/A13_AF333504
387	denovo139274	74.83	13	14	47	294	376.5	F5.1a_AM748591;F5.1b_AJ291535
388	denovo199188	70.26	14	11	66	306	376.5	I4_FN561562;I3_FN561561
389	denovo129465	73.24	17	10	49	284	378	F4.8b_AM748590
390	denovo45494	75.17	17	13	43	294	378	F5.1c_AM748593
391	denovo147941	77.29	7	14	46	295	378	F3.4b_AM748616
392	denovo130665	75.99	10	9	54	304	378	F3.1a_AM748566
393	denovo124353	75.09	10	13	47	281	378.5	F112_AJ291528
394	denovo146216	74.49	13	15	47	294	378.5	F5.1a_AM748591;F5.1b_AJ291535
395	denovo78296	74.9	13	10	41	255	379	A113_AF184948
396	denovo252839	74.65	18	12	42	284	379	F110_AJ291526
397	denovo105027	75	10	11	55	304	379	F3.1a_AM748566
398	denovo86860	73.2	14	15	53	306	379.5	I4_FN561562
399	denovo86860	73.53	13	13	55	306	379.5	I3_FN561561
400	denovo241411	72.55	11	16	57	306	380	I2_FN561560
401	denovo204988	69.61	16	14	63	306	380	I1_FN561559
402	denovo4815	76.53	9	13	47	294	380.5	F1_JN558066
403	denovo238597	74.71	12	13	40	257	381	A4.3_FN429763
404	denovo112343	74.65	15	9	48	284	381	F110_AJ291526
405	denovo238329	73.68	9	10	61	304	381	F3.1a_AM748566
406	denovo127404	71.9	12	15	59	306	381	I3_FN561561
407	denovo18591	73.86	13	15	52	306	381.5	I2_FN561560
408	denovo18591	71.24	11	17	60	306	381.5	I1_FN561559
409	denovo52996	76.59	15	15	40	299	382	F3.2_AM748567
410	denovo81017	75.33	10	11	54	304	382	F3.1a_AM748566
411	denovo180259	73.97	10	14	52	292	382.5	F2_AJ830908
412	denovo244438	72.7	12	12	53	282	383.5	F4.4_AM748582
413	denovo230534	73.81	18	11	48	294	384	F5.2_AM748594
414	denovo230534	73.13	17	12	50	294	384	F5.2f_AJ291512
415	denovo7932	72.11	13	12	57	294	384	F5.1_AM748592;F5.1d_JN558069
416	denovo164410	73.44	12	10	46	256	385	A136_DQ865210
417	denovo38136	75	10	11	55	304	385	F3.1a_AM748566
418	denovo44565	72.18	14	16	49	284	385.5	F110_AJ291526
419	denovo23372	71.57	17	17	53	306	385.5	I1_FN561559
420	denovo243309	73.44	12	14	42	256	386	A136_DQ865210
