"","SampleID","field_season","coral_tag","frozen_sample","sds_SampleID","X","Biomass","field_season_key"
"79","KI15cFQ253","during","788","900","KI15cFQ253","","Low","KI2015c"
"80","KI15cFQ254","during","792","600","KI15cFQ254","","Low","KI2015c"
"81","KI15cFQ261","during","797","400","KI15cFQ261","","High","KI2015c"
"82","KI15cFQ273","during","807","150","KI15cFQ273","","Low","KI2015c"
"83","KI15cFQ277","during","813","500","KI15cFQ277","","High","KI2015c"
"84","KI15cFQ278","during","820","1300","KI15cFQ278","","Low","KI2015c"
"85","KI15cFQ283","during","824","600","KI15cFQ283","","Low","KI2015c"
"86","KI15cFQ348","during","442","500","KI15cFQ348","","Low","KI2015c"
"87","KI15cFQ365","during","253","900","KI15cFQ365","","High","KI2015c"
"88","KI15cFQ372","during","62","300","KI15cFQ372","","Low","KI2015c"
"89","KI15cFQ385","during","696","800","KI15cFQ385","","Low","KI2015c"
"90","KI15cFQ404","during","379","1000","KI15cFQ404","","High","KI2015c"
"91","KI15cFQ415","during","402","400","KI15cFQ415","","Low","KI2015c"
"92","KI15cFQ428","during","410_893","650","KI15cFQ428","","High","KI2015c"
"93","KI15cFQ436","during","742","1300","KI15cFQ436","","High","KI2015c"
"94","KI15cFQ468","during","754","500","KI15cFQ468","","High","KI2015c"
"95","KI15cFQ472","during","766","400","KI15cFQ472","","Low","KI2015c"
"96","KI15cFQ474","during","762","400","KI15cFQ474","","Low","KI2015c"
"97","KI15cFQ488","during","328","1600","KI15cFQ488","","Low","KI2015c"
"98","KI15cFQ496","during","353","1000","KI15cFQ496","","High","KI2015c"
"99","KI15cFQ504","during","857","1000","KI15cFQ504","","High","KI2015c"
"100","KI15cFQ506","during","850","700","KI15cFQ506","","High","KI2015c"
"101","KI16aFQ001","after","62","some","KI16aFQ001","","High","KI2016a"
"102","KI16aFQ004","after","696","some","KI16aFQ004","","High","KI2016a"
"103","KI16aFQ017","after","754_899","some","KI16aFQ017","","Low","KI2016a"
"104","KI16aFQ018","after","900","some","KI16aFQ018","","Low","KI2016a"
"105","KI16aFQ024","after","906","some","KI16aFQ024","","High","KI2016a"
"106","KI16aFQ027","after","909","some","KI16aFQ027","","High","KI2016a"
"107","KI16aFQ033","after","914","some","KI16aFQ033","","High","KI2016a"
"108","KI16aFQ038","after","919","some","KI16aFQ038","","Low","KI2016a"
"109","KI16aFQ047","after","637","some","KI16aFQ047","","Low","KI2016a"
"110","KI16aFQ049","after","99","some","KI16aFQ049","","Low","KI2016a"
"111","KI16aFQ054","after","925","some","KI16aFQ054","","High","KI2016a"
"112","KI16aFQ057","after","928","some","KI16aFQ057","","Low","KI2016a"
"113","KI16aFQ062","after","933","some","KI16aFQ062","","Low","KI2016a"
"114","KI16aFQ069","after","936","some","KI16aFQ069","","High","KI2016a"
"115","KI16aFQ072","after","939","some","KI16aFQ072","","High","KI2016a"
"116","KI16aFQ074","after","941","some","KI16aFQ074","","High","KI2016a"
"117","KI16aFQ088","after","788","some","KI16aFQ088","","High","KI2016a"
"118","KI16aFQ089","after","792","some","KI16aFQ089","","Low","KI2016a"
"119","KI16aFQ091","after","797","some","KI16aFQ091","","High","KI2016a"
"120","KI16aFQ095","after","813","some","KI16aFQ095","","High","KI2016a"
"121","KI16aFQ096","after","820","some","KI16aFQ096","","Low","KI2016a"
"122","KI16aFQ101","after","824","some","KI16aFQ101","","Low","KI2016a"
"123","KI16aFQ104","after","807","some","KI16aFQ104","","High","KI2016a"
"124","KI16aFQ108","after","289","some","KI16aFQ108","","High","KI2016a"
"125","KI16aFQ113","after","857","some","KI16aFQ113","","Low","KI2016a"
"126","KI16aFQ116","after","328","some","KI16aFQ116","","High","KI2016a"
"127","KI16aFQ118","after","783","some","KI16aFQ118","","Low","KI2016a"
"128","KI16aFQ120","after","850","some","KI16aFQ120","","High","KI2016a"
"129","KI16aFQ158","after","594","some","KI16aFQ158","","High","KI2016a"
"130","KI16aFQ160","after","618","some","KI16aFQ160","","High","KI2016a"
"131","KI16aFQ164","after","612","some","KI16aFQ164","","High","KI2016a"
"132","KI16aFQ212","after","1020","some","KI16aFQ212","","Low","KI2016a"
"133","KI16aFQ214","after","1022","some","KI16aFQ214","","High","KI2016a"
"134","KI16aFQ215","after","1023","some","KI16aFQ215","","Low","KI2016a"
"135","KI16aFQ220","after","1008","some","KI16aFQ220","","High","KI2016a"
"136","KI16aFQ223","after","1011","some","KI16aFQ223","","High","KI2016a"
"137","KI16aFQ229","after","1017","some","KI16aFQ229","","High","KI2016a"
"138","KI16aFQ231","after","1024","some","KI16aFQ231","","High","KI2016a"
"139","KI16aFQ235","after","1028","some","KI16aFQ235","","Low","KI2016a"
"140","KI16aFQ237","after","1030","some","KI16aFQ237","","High","KI2016a"
"141","KI16aFQ238","after","1031","some","KI16aFQ238","","Low","KI2016a"
"142","KI16aFQ260","after","1035","some","KI16aFQ260","","High","KI2016a"
"143","KI16aFQ261","after","1036","some","KI16aFQ261","","High","KI2016a"
"144","KI16aFQ264","after","1040","some","KI16aFQ264","","High","KI2016a"
"145","KI16aFQ265","after","1049","some","KI16aFQ265","","High","KI2016a"
"146","KI16aFQ272","after","1055","some","KI16aFQ272","","Low","KI2016a"
