* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Users\Dani\Documents\Data_Analysis\KI_Platy\data\qPCR\KIPlaty_plate11.eds
* Experiment Run End Time = 2017-11-20 09:05:57 AM PST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
E6	KI16aFMD160	PaxC	UNKNOWN	SYBR	None	17.9091	17.8686	0.0572				false	0.01	true	3	15		N	N	N
E7	KI16aFMD160	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.694					false	0.01	true	3	39		N	Y	Y
E7	KI16aFMD160	D	UNKNOWN	FAM	NFQ-MGB	25.2449	25.2027	0.0596				false	0.01	true	3	24		N	Y	Y
E8	KI16aFMD160	C	UNKNOWN	VIC	NFQ-MGB	38.694	38.694					false	0.01	true	3	39		N	Y	Y
E8	KI16aFMD160	D	UNKNOWN	FAM	NFQ-MGB	25.1606	25.2027	0.0596				false	0.01	true	3	24		N	Y	Y
E9	KI17aFMD104	PaxC	UNKNOWN	SYBR	None	17.8728	18.0075	0.1904				false	0.01	true	3	13		N	N	N
E10	KI17aFMD104	PaxC	UNKNOWN	SYBR	None	18.1422	18.0075	0.1904				false	0.01	true	3	12		N	N	N
E11	KI17aFMD104	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.3627					false	0.01	true	3	39		N	Y	Y
E11	KI17aFMD104	D	UNKNOWN	FAM	NFQ-MGB	23.262	23.5645	0.4279				false	0.01	true	3	22		N	Y	Y
E12	KI17aFMD104	C	UNKNOWN	VIC	NFQ-MGB	36.3627	36.3627					false	0.01	true	3	39		N	N	Y
E12	KI17aFMD104	D	UNKNOWN	FAM	NFQ-MGB	23.8671	23.5645	0.4279				false	0.01	true	3	22		N	N	Y
F1	KI15bFMD320	PaxC	UNKNOWN	SYBR	None	16.8558	16.7129	0.202				false	0.01	false	8	16		N	N	N
F2	KI15bFMD320	PaxC	UNKNOWN	SYBR	None	16.5701	16.7129	0.202				false	0.01	false	8	16		N	N	N
F3	KI15bFMD320	C	UNKNOWN	VIC	NFQ-MGB	23.6392	23.7422	0.1457				false	0.01	true	3	23		N	N	N
F3	KI15bFMD320	D	UNKNOWN	FAM	NFQ-MGB	36.3412	36.1746	0.2357				false	0.01	true	3	35		N	N	N
F4	KI15bFMD320	C	UNKNOWN	VIC	NFQ-MGB	23.8451	23.7422	0.1457				false	0.01	true	3	23		N	N	N
F4	KI15bFMD320	D	UNKNOWN	FAM	NFQ-MGB	36.0079	36.1746	0.2357				false	0.01	true	3	35		N	N	N
F5	KI16bFMD106	PaxC	UNKNOWN	SYBR	None	17.9887	18.2736	0.4029				false	0.01	true	3	16		N	N	N
F6	KI16bFMD106	PaxC	UNKNOWN	SYBR	None	18.5585	18.2736	0.4029				false	0.01	true	3	15		N	N	N
F7	KI16bFMD106	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
F7	KI16bFMD106	D	UNKNOWN	FAM	NFQ-MGB	24.4057	24.6271	0.313				false	0.01	true	3	23		N	Y	Y
F8	KI16bFMD106	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
F8	KI16bFMD106	D	UNKNOWN	FAM	NFQ-MGB	24.8484	24.6271	0.313				false	0.01	true	3	24		N	Y	Y
F9	KI15cFMD126	PaxC	UNKNOWN	SYBR	None	19.2557	19.4227	0.2362				false	0.01	true	3	18		N	N	N
F10	KI15cFMD126	PaxC	UNKNOWN	SYBR	None	19.5897	19.4227	0.2362				false	0.01	true	3	18		N	N	N
F11	KI15cFMD126	C	UNKNOWN	VIC	NFQ-MGB	27.8095	28.0176	0.2942				false	0.01	true	3	27		N	Y	Y
F11	KI15cFMD126	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
F12	KI15cFMD126	C	UNKNOWN	VIC	NFQ-MGB	28.2256	28.0176	0.2942				false	0.01	true	3	27		N	N	Y
F12	KI15cFMD126	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y
G1	KI15bFMD245	PaxC	UNKNOWN	SYBR	None	19.4551	18.9477	0.7176				false	0.01	true	3	15		Y	N	N
G2	KI15bFMD245	PaxC	UNKNOWN	SYBR	None	18.4403	18.9477	0.7176				false	0.01	true	3	14		Y	N	N
G3	KI15bFMD245	C	UNKNOWN	VIC	NFQ-MGB	36.7365	36.7365					false	0.01	true	3	35		N	N	N
G3	KI15bFMD245	D	UNKNOWN	FAM	NFQ-MGB	23.911	23.8925	0.0261				false	0.01	true	3	23		N	N	N
G4	KI15bFMD245	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.7365					false	0.01	true	3	39		N	Y	Y
G4	KI15bFMD245	D	UNKNOWN	FAM	NFQ-MGB	23.874	23.8925	0.0261				false	0.01	true	3	23		N	Y	Y
G5	KI16aFMD164	PaxC	UNKNOWN	SYBR	None	17.4886	17.204	0.4024				false	0.01	true	3	15		N	N	N
G6	KI16aFMD164	PaxC	UNKNOWN	SYBR	None	16.9194	17.204	0.4024				false	0.01	true	3	14		N	N	N
G7	KI16aFMD164	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.4474					false	0.01	true	3	39		N	Y	Y
G7	KI16aFMD164	D	UNKNOWN	FAM	NFQ-MGB	24.576	24.6516	0.1069				false	0.01	true	3	23		N	Y	Y
G8	KI16aFMD164	C	UNKNOWN	VIC	NFQ-MGB	36.4474	36.4474					false	0.01	true	3	39		N	N	Y
G8	KI16aFMD164	D	UNKNOWN	FAM	NFQ-MGB	24.7272	24.6516	0.1069				false	0.01	true	3	24		N	N	Y
G9	KI15cFMD283	PaxC	UNKNOWN	SYBR	None	18.8835	19.0508	0.2366				false	0.01	true	3	17		N	N	N
G10	KI15cFMD283	PaxC	UNKNOWN	SYBR	None	19.2181	19.0508	0.2366				false	0.01	true	3	17		N	N	N
G11	KI15cFMD283	C	UNKNOWN	VIC	NFQ-MGB	27.8608	27.9916	0.1849				false	0.01	true	3	27		N	Y	Y
G11	KI15cFMD283	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
G12	KI15cFMD283	C	UNKNOWN	VIC	NFQ-MGB	28.1224	27.9916	0.1849				false	0.01	true	3	27		N	N	Y
G12	KI15cFMD283	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y
H1																		N	N	N
H2	NTC	PaxC	NTC	SYBR	None	36.7019	36.7019					false	0.01	true	3	35		N	N	N
H3	+	C	UNKNOWN	VIC	NFQ-MGB	28.3295	28.234	0.1351				false	0.01	true	3	27		N	N	N
H3	+	D	UNKNOWN	FAM	NFQ-MGB	31.3103	31.136	0.2466				false	0.01	true	3	30		N	N	N
H4	+	C	UNKNOWN	VIC	NFQ-MGB	28.1384	28.234	0.1351				false	0.01	true	3	27		N	N	N
H4	+	D	UNKNOWN	FAM	NFQ-MGB	30.9616	31.136	0.2466				false	0.01	true	3	30		N	N	N
H5	KI15cFMD372	PaxC	UNKNOWN	SYBR	None	17.8716	18.2349	0.5137				false	0.01	true	3	14		Y	N	N
H6	KI15cFMD372	PaxC	UNKNOWN	SYBR	None	18.5981	18.2349	0.5137				false	0.01	true	3	14		Y	N	N
H7	KI15cFMD372	C	UNKNOWN	VIC	NFQ-MGB	31.8841	32.6015	1.0145				false	0.01	true	3	31		Y	N	N
H7	KI15cFMD372	D	UNKNOWN	FAM	NFQ-MGB	26.9528	27.1703	0.3077				false	0.01	true	3	26		Y	N	N
H8	KI15cFMD372	C	UNKNOWN	VIC	NFQ-MGB	33.3189	32.6015	1.0145				false	0.01	true	3	33		Y	N	N
H8	KI15cFMD372	D	UNKNOWN	FAM	NFQ-MGB	27.3879	27.1703	0.3077				false	0.01	true	3	26		Y	N	N
H9	+	PaxC	UNKNOWN	SYBR	None	20.3485	20.348	0.0007				false	0.01	true	3	19		N	N	N
H10	+	PaxC	UNKNOWN	SYBR	None	20.3475	20.348	0.0007				false	0.01	true	3	18		N	N	N
H11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
H11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
H12																		N	N	N
