* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate0.eds
* Experiment Run End Time = 2017-11-10 18:45:35 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	BADROX	HIGHSD	NOAMP	NOISE	NOSIGNAL	EXPFAIL
D7	KI15cFMD254	D	UNKNOWN	FAM	NFQ-MGB	26.9363	26.9852	0.0692				false	0.01	true	3	26		N	N	N	N	N	N	N
D8	KI15cFMD254	C	UNKNOWN	VIC	NFQ-MGB	24.4586	24.4364	0.0314				false	0.01	true	3	23		N	N	N	N	N	N	N
D8	KI15cFMD254	D	UNKNOWN	FAM	NFQ-MGB	27.0342	26.9852	0.0692				false	0.01	true	3	26		N	N	N	N	N	N	N
D9																		N	N	N	N	N	N	N
D10																		N	N	N	N	N	N	N
D11																		N	N	N	N	N	N	N
D12																		N	N	N	N	N	N	N
E1																		N	N	N	N	N	N	N
E2																		N	N	N	N	N	N	N
E3																		N	N	N	N	N	N	N
E4																		N	N	N	N	N	N	N
E5																		N	N	N	N	N	N	N
E6																		N	N	N	N	N	N	N
E7																		N	N	N	N	N	N	N
E8																		N	N	N	N	N	N	N
E9	KI16aFMD017	PaxC	UNKNOWN	SYBR	None	17.7137	17.4801	0.3304				false	0.01	true	3	16		N	N	N	N	N	N	N
E10	KI16aFMD017	PaxC	UNKNOWN	SYBR	None	17.2465	17.4801	0.3304				false	0.01	true	3	14		N	N	N	N	N	N	N
E11	KI16aFMD017	C	UNKNOWN	VIC	NFQ-MGB	39.4478	39.3955	0.074				false	0.01	true	3	39		N	N	N	N	N	N	Y
E11	KI16aFMD017	D	UNKNOWN	FAM	NFQ-MGB	23.5175	23.5793	0.0875				false	0.01	true	3	23		N	N	N	N	N	N	Y
E12	KI16aFMD017	C	UNKNOWN	VIC	NFQ-MGB	39.3431	39.3955	0.074				false	0.01	true	3	39		N	N	N	N	N	N	Y
E12	KI16aFMD017	D	UNKNOWN	FAM	NFQ-MGB	23.6412	23.5793	0.0875				false	0.01	true	3	22		N	N	N	N	N	N	Y
F1	KI15bFMD231	PaxC	UNKNOWN	SYBR	None	19.0741	18.7971	0.3917				false	0.01	true	3	16		N	N	N	N	N	N	N
F2	KI15bFMD231	PaxC	UNKNOWN	SYBR	None	18.5201	18.7971	0.3917				false	0.01	true	3	17		N	N	N	N	N	N	N
F3	KI15bFMD231	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y	N	N	Y
F3	KI15bFMD231	D	UNKNOWN	FAM	NFQ-MGB	23.9363	23.9334	0.004				false	0.01	true	3	23		N	N	N	Y	N	N	Y
F4	KI15bFMD231	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y	N	N	Y
F4	KI15bFMD231	D	UNKNOWN	FAM	NFQ-MGB	23.9306	23.9334	0.004				false	0.01	true	3	23		N	N	N	Y	N	N	Y
F5	KI15bFMD288	PaxC	UNKNOWN	SYBR	None	18.6977	18.6919	0.0082				false	0.01	true	3	17		N	N	N	N	N	N	N
F6	KI15bFMD288	PaxC	UNKNOWN	SYBR	None	18.6861	18.6919	0.0082				false	0.01	true	3	16		N	N	N	N	N	N	N
F7	KI15bFMD288	C	UNKNOWN	VIC	NFQ-MGB	24.5034	24.5821	0.1114				false	0.01	true	3	24		N	N	Y	N	N	N	N
F7	KI15bFMD288	D	UNKNOWN	FAM	NFQ-MGB	34.7172	33.903	1.1514				false	0.01	true	3	35		N	N	Y	N	N	N	N
F8	KI15bFMD288	C	UNKNOWN	VIC	NFQ-MGB	24.6609	24.5821	0.1114				false	0.01	true	3	24		N	N	Y	N	N	N	N
F8	KI15bFMD288	D	UNKNOWN	FAM	NFQ-MGB	33.0889	33.903	1.1514				false	0.01	true	3	33		N	N	Y	N	N	N	N
F9	NEC	PaxC	NTC	SYBR	None	35.4824						false	0.01	true	3	35		N	N	N	N	N	N	N
F10	NEC	PaxC	NTC	SYBR	None	34.3234						false	0.01	true	3	34		Y	N	N	N	N	N	N
F11	NEC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N	N	N	N
F11	NEC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N	N	N	N
F12	NEC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N	N	N	N
F12	NEC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N	N	N	N
G1																		N	N	N	N	N	N	N
G2																		N	N	N	N	N	N	N
G3																		N	N	N	N	N	N	N
G4																		N	N	N	N	N	N	N
G5																		N	N	N	N	N	N	N
G6																		N	N	N	N	N	N	N
G7																		N	N	N	N	N	N	N
G8																		N	N	N	N	N	N	N
G9	+	PaxC	UNKNOWN	SYBR	None	16.222	16.222					false	0.01	true	3	16		N	N	N	N	N	N	N
G10	+	PaxC	UNKNOWN	SYBR	None	Undetermined	16.222					false	0.01	true	3	39		N	Y	N	N	N	Y	Y
G11	+	C	UNKNOWN	VIC	NFQ-MGB	25.2514	24.7742	0.6749				false	0.01	true	3	24		N	N	Y	N	N	N	N
G11	+	D	UNKNOWN	FAM	NFQ-MGB	34.1825	33.754	0.6059				false	0.01	true	3	34		N	N	Y	N	N	N	N
G12	+	C	UNKNOWN	VIC	NFQ-MGB	24.297	24.7742	0.6749				false	0.01	true	3	24		N	N	Y	N	N	N	N
G12	+	D	UNKNOWN	FAM	NFQ-MGB	33.3256	33.754	0.6059				false	0.01	true	3	33		N	N	Y	N	N	N	N
H1	KI15bFMD023	PaxC	UNKNOWN	SYBR	None	19.1075	19.023	0.1195				false	0.01	false	3	12		N	N	N	N	N	N	N
H2	KI15bFMD023	PaxC	UNKNOWN	SYBR	None	18.9386	19.023	0.1195				false	0.01	true	3	12		N	N	N	N	N	N	N
H3	KI15bFMD023	C	UNKNOWN	VIC	NFQ-MGB	23.9456	23.9107	0.0494				false	0.01	true	3	23		N	N	N	N	N	N	N
H3	KI15bFMD023	D	UNKNOWN	FAM	NFQ-MGB	34.8926	34.8926					false	0.01	true	3	35		N	N	N	N	N	N	N
H4	KI15bFMD023	C	UNKNOWN	VIC	NFQ-MGB	23.8757	23.9107	0.0494				false	0.01	true	3	23		N	N	N	N	N	N	Y
H4	KI15bFMD023	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	34.8926					false	0.01	true	3	39		N	N	N	N	N	N	Y
H5	KI16aFMD089	PaxC	UNKNOWN	SYBR	None	17.6397	17.5615	0.1106				false	0.01	true	3	16		N	N	N	N	N	N	N
H6	KI16aFMD089	PaxC	UNKNOWN	SYBR	None	17.4833	17.5615	0.1106				false	0.01	true	3	15		N	N	N	N	N	N	N
H7	KI16aFMD089	C	UNKNOWN	VIC	NFQ-MGB	28.7593	28.7593					false	0.01	true	3	27		N	N	N	N	N	N	N
H7	KI16aFMD089	D	UNKNOWN	FAM	NFQ-MGB	23.5105	23.4631	0.0671				false	0.01	true	3	22		N	N	N	N	N	N	N
H8	KI16aFMD089	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	28.7593					false	0.01	true	3	39		N	N	N	Y	N	N	Y
H8	KI16aFMD089	D	UNKNOWN	FAM	NFQ-MGB	23.4156	23.4631	0.0671				false	0.01	true	3	22		N	N	N	Y	N	N	Y
H9	NTC	PaxC	NTC	SYBR	None	30.2196						false	0.01	true	3	20		Y	Y	N	N	Y	Y	N
H10	NTC	PaxC	NTC	SYBR	None	14.389						false	0.01	true	3	39		Y	Y	N	N	N	Y	N
H11	NTC	C	NTC	VIC	NFQ-MGB	16.7801						false	0.01	true	3	39		Y	N	N	N	N	N	N
H11	NTC	D	NTC	FAM	NFQ-MGB	16.073						false	0.01	true	3	39		Y	N	N	N	N	N	N
H12	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	9		Y	Y	N	N	N	Y	N
H12	NTC	D	NTC	FAM	NFQ-MGB	18.2053						false	0.01	true	3	39		Y	Y	N	N	N	Y	N
