Tag #,Site ,Disturbance_Level,Coral species,2014,2015a_pre,2015a_post,2015b,2015c,2016a,2016b,2017,2018,2019,2014,2015a_pre,2015a_post,2015b
40,27,VERYHIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
41,27,VERYHIGH,Montipora foliosa,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
42,27,VERYHIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
43,27,VERYHIGH,Pocillopora eydouxi,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
44,27,VERYHIGH,Montipora foliosa,compartment,NA,compartment,sampled,sampled,gone,NA,NA,NA,NA,1,NA,1,sampled
45,27,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
46,27,VERYHIGH,Porites lobata,bleaching2,NA,NA,bleaching3_2018run,bleaching2,bleaching2,dead,NA,NA,NA,1,NA,NA,1
47,27,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
48,8,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
49,8,MED,*tag lost*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,8,MED,Pocillopora eydouxi,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
51,8,MED,Favia matthai,bleaching3_2018run,NA,bleaching3_2018run,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
52,8,MED,Pocillopora eydouxi,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
53,8,MED,Hydnophora microconos,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
54,8,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,found tag,NA,NA,NA,1,NA,NA,NA
55,8,MED,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
56,8,MED,Favia matthai,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
57,8,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
58,8,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
59,8,MED,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
60,8,MED,Montipora foliosa,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
61_1085,8,MED,Favia matthai,bleaching3_2018run,NA,bleaching3_2018run,bleaching3_2018run,bleaching3_2018run,NA,barely alive,barely alive,NA,NA,1,NA,1,1
62_1260,8,MED,Platygyra sp,platy,NA,platy,platy,platy,platy,bleaching2,2017samples,NA,sampled,1,NA,1,1
63,8,MED,Porites lobata,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
64,8,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
65,8,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
66,8,MED,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
67,8,MED,Pocillopora eydouxi,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
68,8,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
69_875,8,MED,Montipora foliosa,compartment,NA,compartment,compartment,sampled,NA,NA,NA,NA,NA,1,NA,1,1
70,8,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
71,8,MED,Pocillopora eydouxi,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
72,8,MED,Favia matthai,bleaching3_2018run,NA,bleaching3_2018run,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
73,8,MED,Montipora foliosa,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
74,8,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
75,8,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
76,8,MED,Montipora foliosa,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
77,8,MED,Porites lobata,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
78,8,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
79,8,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
80,8,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
81,8,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
82,8,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
83,8,MED,Montipora foliosa,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
84,8,MED,Pocillopora eydouxi,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
85,8,MED,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead or gone,NA,dead,NA,NA,1,NA,NA,1
86,8,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
87,35,MED,Porites lobata,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
87b,35,MED,Porites lobata,NA,NA,NA,compartment,sampled,NA,NA,NA,NA,NA,NA,NA,NA,1
87c,35,MED,Porites lobata,NA,NA,NA,NA,NA,bleaching2,NA,NA,NA,NA,NA,NA,NA,NA
87d,35,MED,Porites lobata,NA,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
88,35,MED,Pocillopora eydouxi,compartment,compartment,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,1,1,1
89_1311,35,MED,Favia matthai,platy,platy,platy,platy,platy,platy,bleaching2,barely alive,sampled,sampled,1,1,1,1
90_690,35,MED,Montipora foliosa,compartment,compartment,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,1,NA,1
91,35,MED,Hydnophora microconos,symbio_micro,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,1,1,gone,NA
92_860,35,MED,Pocillopora eydouxi,compartment,compartment,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,1,1,1
93,35,MED,Favia matthai,symbio_micro,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
93b,35,MED,Favia matthai,NA,NA,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
94,35,MED,Montipora foliosa,compartment,compartment,compartment,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,1,1,NA
95,35,MED,Favia matthai,bleaching3_2018run,bleaching3_2018run,bleaching3_2018run,bleaching3_2018run,bleaching3_2018run,barely alive,dead,NA,NA,NA,1,1,1,1
96,35,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
97,35,MED,Porites lobata,compartment,NA,compartment,compartment,bleaching3_2018run,barely alive,barely alive,dead,NA,NA,1,NA,1,1
98,35,MED,Montipora foliosa,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
99_1312_1360,35,MED,Platygyra sp,platy,NA,platy,platy,platy,platy,bleaching2,2017samples,sampled,sampled,1,NA,1,1
100_638,35,MED,Favia matthai,platy,NA,platy,platy,platy,platy,NA,2017samples,sampled,sampled,1,NA,1,1
101,35,MED,Hydnophora microconos,symbio_micro,gone ,NA,NA,NA,NA,NA,NA,NA,NA,1,gone ,NA,NA
102,35,MED,Montipora foliosa,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
103,35,MED,Favia matthai,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
104,35,MED,Acropora sp,sampled_skip_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_sp,NA,NA,NA
105,35,MED,Montipora foliosa,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
106,35,MED,Pocillopora eydouxi,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
107,35,MED,Porites lobata,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
108,35,MED,Favia matthai,symbio_micro,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
109,35,MED,Pocillopora eydouxi,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
110,35,MED,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
111,35,MED,Hydnophora microconos,symbio_micro,NA,NA,sampled,sampled,gone,NA,NA,NA,NA,1,NA,NA,sampled
112_874,35,MED,Porites lobata,bleaching2,NA,NA,NA,bleaching2,bleaching2,dead or gone,gone,NA,NA,1,NA,NA,NA
113,35,MED,Favia matthai,bleaching3_2018run,NA,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
114_692,35,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
115,35,MED,Favia matthai,bleaching3_2018run,NA,NA,bleaching3_2018run,bleaching3_2018run,barely alive,dead,NA,NA,NA,1,NA,NA,1
116,35,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
117,35,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
118,35,MED,Favia matthai,bleaching3_2018run,NA,NA,bleaching3_2018run,bleaching3_2018run,barely alive,dead,NA,NA,NA,1,NA,NA,1
119,35,MED,Porites lobata,FAIL_symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,FAIL_1,NA,NA,1
120,35,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
121_693,35,MED,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
122,35,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,gone,NA,NA,NA,NA,1,NA,NA,NA
122b,35,MED,Porites lobata,NA,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,NA,NA,NA,1
123,35,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
124,35,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
125,35,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
126,30,VERYHIGH,Porites lobata,compartment,NA,NA,NA,NA,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
126b,30,VERYHIGH,Porites lobata,NA,NA,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
127,30,VERYHIGH,Favia sp,platy,NA,platy,platy,platy,platy,barely alive,barely alive,sampled,barely alive,1,NA,1,1
128_1261,30,VERYHIGH,Hydnophora microconos,bleaching2,NA,bleaching2,bleaching2,bleaching2,bleaching2,bleaching2,2017samples,sampled,sampled,1,NA,1,1
129,30,VERYHIGH,Pocillopora eydouxi,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
130,30,VERYHIGH,Favia matthai,symbio_micro,NA,symbio_micro,sampled,sampled,gone,NA,NA,NA,NA,1,NA,1,sampled
131,30,VERYHIGH,Porites lobata,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
131b,30,VERYHIGH,Porites lobata,NA,NA,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
131c,30,VERYHIGH,Porites lobata,NA,NA,NA,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
132,30,VERYHIGH,Pocillopora eydouxi,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
133,30,VERYHIGH,Montipora foliosa,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
134,30,VERYHIGH,Montipora foliosa,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
135,30,VERYHIGH,Pocillopora eydouxi,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
136,30,VERYHIGH,Porites lobata,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
137,30,VERYHIGH,Montipora foliosa,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
138,30,VERYHIGH,Favia matthai,symbio_micro,NA,symbio_micro,NA,sampled,gone,NA,NA,NA,NA,1,NA,1,NA
139,30,VERYHIGH,Pocillopora eydouxi,symbio_micro,gone,NA,compartment,NA,NA,NA,NA,NA,NA,1,gone,NA,1
140,30,VERYHIGH,Porites lobata,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
141,30,VERYHIGH,Favia matthai,symbio_micro,NA,NA,sampled,sampled,gone,NA,NA,NA,NA,1,NA,NA,sampled
142,30,VERYHIGH,Pocillopora eydouxi,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
143,30,VERYHIGH,Montipora foliosa,symbio_micro,NA,bleaching3_2018run,NA,NA,dead,NA,NA,NA,NA,1,NA,1,NA
144,30,VERYHIGH,Porites lobata,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
145,30,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
146_1081,30,VERYHIGH,Favia matthai,platy,NA,platy,platy,platy,platy,bleaching2,NA,*Gone,NA,1,NA,1,1
147,30,VERYHIGH,Montipora foliosa,compartment,NA,compartment,compartment,NA,NA,NA,NA,NA,NA,1,NA,1,1
148,30,VERYHIGH,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
149,30,VERYHIGH,Pocillopora eydouxi,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
150,30,VERYHIGH,Favia sp,FAIL_symbio_micro,NA,symbio_micro,sampled,sampled,gone,NA,NA,NA,NA,FAIL_1,NA,1,sampled
151_1166,30,VERYHIGH,Porites lobata,compartment,NA,compartment,compartment,bleaching2,bleaching2,bleaching2,2017samples,sampled,sampled,1,NA,1,1
152,30,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
153,30,VERYHIGH,Favia matthai,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
154_872,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
155,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
156,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,gone,NA,NA,1,NA,NA,NA
156b,3,LOW,Porites lobata,NA,NA,NA,NA,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA
157_1337,3,LOW,Platygyra sp,platy,NA,NA,NA,platy,NA,NA,2017samples,sampled,sampled,1,NA,NA,NA
158,3,LOW,Favia matthai,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
159,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
160,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
161,3,LOW,Platygyra sp,platy,NA,NA,NA,platy,NA,NA,NA,NA,NA,1,NA,NA,NA
162,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
163,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
164_1143,3,LOW,Platygyra sp,symbio_micro,NA,NA,NA,NA,NA,NA,2017samples,sampled,NA,1,NA,NA,NA
165,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
166,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,dead or gone,NA,NA,1,NA,NA,NA
167,3,LOW,Favia speciosa,sampled_skip_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_sp,NA,NA,NA
168,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
169,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,gone,1,NA,NA,NA
170,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
171,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
172_1112,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,sampled,NA,1,NA,NA,NA
173_1113,3,LOW,Favia sp,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,sampled,sampled,1,NA,NA,NA
174,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,dead,NA,NA,1,NA,NA,NA
174b,3,LOW,Pocillopora eydouxi,NA,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,NA,NA,NA,NA
175,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,dead,NA,NA,1,NA,NA,NA
176,3,LOW,Favites halicora,bleaching3_2018run,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
177,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
178,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
179,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
180,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
181,3,LOW,Favia matthai,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,NA,NA,dead or gone,NA,NA,1,NA,NA,NA
182,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,dead,NA,NA,1,NA,NA,NA
183_1114_1340,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,sampled,sampled,1,NA,NA,NA
184,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,dead or gone,NA,NA,1,NA,NA,NA
185,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
186,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
187,3,LOW,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,barely alive,NA,NA,1,NA,NA,NA
187b,3,LOW,Hydnophora microconos,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled,,,,
188_971,38,LOW,Porites lobata,bleaching2,NA,NA,NA,bleaching2,bleaching2,NA,NA,NA,NA,1,NA,NA,NA
189,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
190_873,38,LOW,Favites halicora,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
191,38,LOW,Hydnophora microconos,bleaching2,NA,NA,NA,bleaching2,bleaching2,NA,NA,NA,NA,1,NA,NA,NA
192,38,LOW,Favites pentagona,platy,NA,NA,NA,platy,dead,NA,NA,NA,NA,1,NA,NA,NA
193,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
194,38,LOW,Porites lobata,bleaching2,NA,NA,NA,bleaching2,bleaching2,NA,NA,NA,NA,1,NA,NA,NA
