otu sim del ins mis len score hit clade
denovo11196 denovo11196  99.26  0  0   2 271 1337.0 D1_AF334660 D
denovo31005 denovo31005  99.65  0  0   1 283 1406.0 C15_AY239369 C
denovo29519 denovo29519  99.29  0  0   2 283 1397.0 C3_AB778606;C1.v1a_FJ919243 C
denovo12424 denovo12424  98.23  0  0   5 283 1370.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo28050 denovo28050 100.00  0  0   0 283 1415.0 C1c/C45_AY239364 C
denovo35641 denovo35641  97.53  0  0   7 283 1352.0 C15_AY239369 C
denovo39506 denovo39506 100.00  0  0   0 255 1275.0 A1.4_HE578977 A
denovo14781 denovo14781  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo13292 denovo13292  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo24628 denovo24628 100.00  0  0   0 287 1435.0 G100_AB253788 G
denovo17913 denovo17913 100.00  0  0   0 255 1275.0 A1_AF333505 A
denovo17910 denovo17910  98.94  0  1   2 283 1321.0 C3_AB778606;C131_JF320826;C3.16_EU786015 C
denovo17911 denovo17911  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo40908 denovo40908  99.65  0  0   1 283 1406.0 C15_AY239369 C
denovo40907 denovo40907  98.59  0  0   4 283 1379.0 C3_AB778606;C1.v1a_FJ919243 C
denovo1458 denovo1458  97.88  0  1   5 283 1316.0 C3k_AY589737 C
denovo8602 denovo8602  98.23  0  1   4 283 1325.0 C3k_AY589737 C
denovo13558 denovo13558  99.29  0  0   2 283 1397.0 C1_JN558041;C1m_AY765398;C1003_DQ480639 C
denovo20026 denovo20026  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo10687 denovo10687  99.65  0  0   1 283 1406.0 C1d_AY258488 C
denovo10686 denovo10686  98.94  0  0   3 283 1388.0 C3k_AY589737 C
denovo2863 denovo2863  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo40522 denovo40522  99.65  0  0   1 283 1406.0 C3_AB778606;C1.v1a_FJ919243 C
denovo40521 denovo40521  97.88  0  0   6 283 1361.0 C15_AY239369 C
denovo40520 denovo40520  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo41347 denovo41347 100.00  0  0   0 283 1415.0 C42_AY258487 C
denovo41348 denovo41348 100.00  0  0   0 276 1380.0 C32.1_JF683335 C
denovo5012 denovo5012 100.00  0  0   0 261 1305.0 D2_AY686649 D
denovo38009 denovo38009  99.64  0  0   1 276 1371.0 C21/3d/C3k_AY239372 C
denovo14050 denovo14050  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo25928 denovo25928  99.62  0  0   1 261 1296.0 D2_AY686649 D
denovo25927 denovo25927 100.00  0  0   0 283 1415.0 C3_AB778606 C
denovo18277 denovo18277  98.26  0  0   5 287 1390.0 G3.3_LK392377;G3.1_KC597688 G
denovo41179 denovo41179  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo40910 denovo40910  99.65  0  0   1 283 1406.0 C42_AY258487 C
denovo6058 denovo6058  98.41  0  0   4 252 1224.0 A121_DQ174722 A
denovo6056 denovo6056 100.00  0  0   0 271 1355.0 D1_AF334660 D
denovo6057 denovo6057  99.65  0  0   1 283 1406.0 C1232_EU118163 C
denovo11182 denovo11182  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo291 denovo291  98.81  0  0   3 252 1233.0 A121_DQ174722 A
denovo24065 denovo24065  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo27970 denovo27970  97.53  0  0   7 283 1352.0 C3_AB778606;C50_AY589755 C
