otu sim del ins mis len score hit clade
denovo18624 denovo18624  98.91  0  0   3 276 1353.0 C21.4_JF683326 C
denovo18004 denovo18004  96.26  1  0  10 294 1369.5 F5.1a_AM748591 F
denovo13788 denovo13788 100.00  0  0   0 280 1400.0 C31_AY258496 C
denovo26539 denovo26539  99.63  0  0   1 271 1346.0 D1_AF334660 D
denovo6388 denovo6388  98.94  0  1   2 283 1381.5 C1094_AJ291514;C15_AY239369;C93a_AM748563 C
denovo31259 denovo31259  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo132 denovo132  99.30  0  0   2 287 1417.0 G3_AM748600 G
denovo29461 denovo29461  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo30424 denovo30424  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo22471 denovo22471  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo9069 denovo9069  99.29  0  0   2 283 1397.0 C3k_AY589737 C
denovo7513 denovo7513  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo18574 denovo18574  98.94  0  0   3 283 1388.0 C42_AY765402 C
denovo36691 denovo36691 100.00  0  0   0 283 1415.0 C1d_AY258488 C
denovo2765 denovo2765  98.23  0  0   5 283 1370.0 C3_AB778606 C
denovo41193 denovo41193  99.65  0  0   1 283 1406.0 C42_AY258487 C
denovo33573 denovo33573  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo7920 denovo7920 100.00  0  0   0 283 1415.0 C1f_AY258490 C
denovo7172 denovo7172  99.29  0  0   2 280 1382.0 C31_AY258496 C
denovo14054 denovo14054  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo33438 denovo33438  99.26  0  0   2 271 1337.0 D1a_JN558078;D120_EU074900 D
denovo10675 denovo10675  99.29  0  0   2 280 1382.0 C31_AY258496 C
denovo27237 denovo27237  96.82  0  1   8 283 1327.5 C1233_EU118166 C
denovo7719 denovo7719  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo16841 denovo16841  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo14990 denovo14990  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo9238 denovo9238  99.32  0  0   2 294 1452.0 F1_JN558066 F
denovo26350 denovo26350  91.30  2  4  20 299 1210.0 F3.2a_AM748568 F
denovo3281 denovo3281  99.65  0  0   1 287 1426.0 G100_AB253788 G
denovo3283 denovo3283  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo13194 denovo13194  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo34791 denovo34791 100.00  0  0   0 294 1470.0 F5.2c_AM748596 F
denovo25700 denovo25700  93.75  3  2  11 256 1099.0 A114_AF184941;A134_DQ174723 A
denovo10313 denovo10313  99.60  0  0   1 251 1246.0 A6_AF186058;A148_EU074938;A116_AF183575 A
denovo23171 denovo23171  99.29  0  0   2 280 1382.0 C31_AY258496 C
denovo32157 denovo32157  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo25935 denovo25935  99.60  0  0   1 251 1246.0 A7_AY239360 A
denovo7234 denovo7234  97.88  1  0   5 283 1358.5 C15_AY239369 C
denovo31321 denovo31321  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo31322 denovo31322  98.23  1  0   4 283 1367.5 C15.6_FN563472 C
denovo30056 denovo30056  98.94  0  0   3 283 1388.0 C3_AB778606;C1.v1a_FJ919243 C
denovo37586 denovo37586  97.53  0  0   7 283 1352.0 C1_JN558041;C45.3_FJ461522;C3a_AF499790 C
denovo22287 denovo22287  98.59  0  0   4 283 1379.0 C1p_GU907652;C42_AY258487 C
denovo18806 denovo18806  99.64  0  0   1 280 1391.0 C31a_AY589746 C
denovo25019 denovo25019  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo4060 denovo4060  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo10478 denovo10478  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo24866 denovo24866  97.88  0  0   6 283 1361.0 C1.6_FJ461493;C1a_AF499788 C
denovo24283 denovo24283  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo25429 denovo25429  98.23  0  0   5 283 1370.0 C1051_AF195153 C
denovo40337 denovo40337  98.23  1  1   3 283 1361.0 C1233_EU118166 C
denovo20929 denovo20929 100.00  0  0   0 283 1415.0 C15.25_KC597685 C
denovo9464 denovo9464  98.94  0  1   2 283 1304.5 C3_AB778606;C3.7_FJ461502;C1114_AB207196;C1190_EU099841;C1182_AB294649 C
denovo6847 denovo6847  97.53  0  0   7 283 1352.0 C1_JN558041;C45.3_FJ461522;C3.11_FJ461506 C
denovo149 denovo149  98.94  1  0   2 282 1381.5 C3.1_JF683321 C
denovo5256 denovo5256 100.00  0  0   0 271 1355.0 D1.3_JF683337 D
denovo3099 denovo3099 100.00  0  0   0 283 1415.0 C1060_DQ480600 C
denovo12642 denovo12642  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo12645 denovo12645  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo33916 denovo33916 100.00  0  0   0 283 1415.0 C1_JN558041 C
denovo39905 denovo39905  98.59  0  0   4 283 1379.0 C3k_AY589737 C
denovo30397 denovo30397  98.23  1  0   4 283 1367.5 C15.6_FN563472 C
denovo19334 denovo19334 100.00  0  0   0 283 1415.0 C15_AY239369 C
denovo19336 denovo19336  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo35393 denovo35393  98.23  0  0   5 283 1370.0 C15a_AY258476 C
denovo2476 denovo2476  99.29  0  0   2 280 1382.0 C31_AY258496 C
denovo15485 denovo15485  99.65  0  0   1 283 1406.0 C1c/C45_AY239364 C
denovo2673 denovo2673  99.34  0  0   2 304 1502.0 F114_AJ291525 F
denovo28934 denovo28934  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo31905 denovo31905  99.66  0  0   1 294 1461.0 F5.1a_AM748591 F
denovo12971 denovo12971  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo11618 denovo11618  98.23  1  0   4 283 1367.5 C15_AY239369 C
denovo3196 denovo3196  98.59  0  1   3 284 1377.5 C66_AY589771 C
denovo26246 denovo26246  91.30  2  3  21 299 1211.0 F3.2_AM748567 F
denovo23031 denovo23031 100.00  0  0   0 251 1255.0 A141_EU074931 A
denovo10767 denovo10767  91.80  0  2  19 256 1078.0 A101_AF427468;A135_DQ174727 A
denovo23371 denovo23371  96.82  0  0   9 283 1334.0 C4_AF499794 C
denovo413 denovo413  99.29  0  0   2 280 1382.0 C31_AY258496 C
denovo28412 denovo28412  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo24336 denovo24336  98.58  1  0   3 282 1372.5 C3.1_JF683321 C
denovo35297 denovo35297  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo3545 denovo3545  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo3845 denovo3845  99.65  0  0   1 283 1406.0 C1233_EU118166 C
denovo7631 denovo7631  99.29  0  1   1 283 1390.5 C42_AY258487 C
denovo39775 denovo39775  99.64  1  0   0 276 1369.0 C21/3d/C3k_AY239372 C
denovo31714 denovo31714  93.00  1  1  16 257 1109.5 A133_DQ174725 A
denovo36394 denovo36394  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo15831 denovo15831  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo24101 denovo24101  99.29  1  0   1 283 1394.5 C3_AB778606 C
denovo28727 denovo28727  96.31  1  0   9 271 1263.0 D1_AF334660 D
denovo28725 denovo28725  97.42  1  2   4 271 1128.5 D1_AF334660;D108_AF174567 D
denovo10270 denovo10270  99.29  0  0   2 283 1397.0 C42_AY765402 C
denovo39209 denovo39209  90.64  2  3  23 299 1193.0 F3.2_AM748567 F
denovo15291 denovo15291  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo21876 denovo21876  94.55  0  0  14 257 1159.0 A133_DQ174725 A
denovo36269 denovo36269  98.23  0  0   5 282 1365.0 C3.2_FJ461497 C
denovo36266 denovo36266  98.59  1  0   3 283 1376.5 C15_AY239369 C
denovo4515 denovo4515 100.00  0  0   0 271 1355.0 D1a_JN558078 D
denovo24184 denovo24184  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo39947 denovo39947  98.23  0  0   5 282 1365.0 C3b_AF499791 C
denovo17395 denovo17395  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo24685 denovo24685  96.68  1  2   6 271 1110.5 D1_AF334660;D108_AF174567 D
denovo39288 denovo39288  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo36747 denovo36747  98.98  0  0   3 294 1443.0 F1_JN558066 F
denovo5228 denovo5228  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo4598 denovo4598  99.63  0  0   1 271 1346.0 D1a_JN558078 D
denovo37172 denovo37172  98.23  1  0   4 283 1367.5 C15.6_FN563472 C
denovo40921 denovo40921  99.26  0  0   2 271 1337.0 D1_AF334660 D
denovo40555 denovo40555  98.05  0  0   5 256 1235.0 A101_AF427468;A135_DQ174727;A114_AF184941 A
denovo22847 denovo22847  97.05  1  2   5 271 1119.5 D1_AF334660;D108_AF174567 D
denovo34099 denovo34099  97.88  0  0   6 283 1361.0 C1_JN558041;C45.3_FJ461522 C
denovo18529 denovo18529  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo12710 denovo12710  99.30  0  0   2 287 1417.0 G100_AB253788 G
denovo28985 denovo28985  97.17  0  0   8 283 1343.0 C1_JN558041 C
denovo28321 denovo28321  97.79  0  1   5 271 1278.0 D1_AF334660 D
denovo631 denovo631  99.63  0  0   1 271 1346.0 D1_AF334660 D
denovo11301 denovo11301  99.65  0  0   1 287 1426.0 G100_AB253788 G
denovo22776 denovo22776  99.65  0  0   1 283 1406.0 C1f_AY258490 C
denovo14107 denovo14107  99.29  0  0   2 280 1382.0 C31_AY258496 C
denovo38622 denovo38622  97.05  1  2   5 271 1119.5 D1_AF334660;D108_AF174567 D
denovo31927 denovo31927  98.59  0  1   3 283 1372.5 C15_AY239369;C15.2_FJ461509 C
denovo10240 denovo10240  97.88  0  0   6 283 1361.0 C3k_AY589737 C
denovo27695 denovo27695  99.22  0  1   1 255 1250.5 A112_AF184949 A
denovo31262 denovo31262  98.94  0  0   3 283 1388.0 C15_AY239369 C
denovo41436 denovo41436 100.00  0  0   0 287 1435.0 G3.3_LK392377 G
denovo1080 denovo1080  99.63  0  0   1 271 1346.0 D1a_JN558078 D
denovo10451 denovo10451  99.29  0  0   2 283 1397.0 C15_AY239369;C15.1_FJ461508 C
denovo16206 denovo16206  99.65  0  0   1 283 1406.0 C15_AY239369 C
denovo7602 denovo7602 100.00  0  0   0 280 1400.0 C31.1_HQ630876 C
denovo32121 denovo32121  97.88  0  0   6 283 1361.0 C1a_AF499788 C
denovo3632 denovo3632  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo25558 denovo25558  98.59  1  0   3 283 1376.5 C15_AY239369;C15.22_KC597695 C
denovo3171 denovo3171  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo13775 denovo13775  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo16656 denovo16656  99.29  0  0   2 283 1397.0 C15.6_FN563472 C
denovo11385 denovo11385  99.29  0  0   2 280 1382.0 C31.2_JF683332 C
denovo5803 denovo5803  97.88  1  0   5 283 1358.5 C15_AY239369 C
denovo5808 denovo5808  98.23  1  0   4 283 1367.5 C15.6_FN563472 C
denovo17243 denovo17243  98.91  1  0   2 276 1351.0 C21/3d/C3k_AY239372 C
denovo33567 denovo33567  98.93  0  0   3 280 1373.0 C31_AY258496 C
denovo22572 denovo22572  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo7939 denovo7939  97.53  1  1   5 283 1322.0 C15_AY239369 C
denovo29490 denovo29490  99.65  0  1   0 283 1399.5 C42_AY258487 C
denovo11196 denovo11196  99.26  0  0   2 271 1337.0 D1_AF334660 D
denovo22282 denovo22282  98.69  0  0   4 306 1494.0 I2_FN561560 I
denovo31005 denovo31005  99.65  0  0   1 283 1406.0 C15_AY239369 C
denovo32394 denovo32394  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo22970 denovo22970  98.23  1  0   4 283 1367.5 C15.6_FN563472 C
denovo29519 denovo29519  99.29  0  0   2 283 1397.0 C3_AB778606;C1.v1a_FJ919243 C
denovo6179 denovo6179  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo12424 denovo12424  98.23  0  0   5 283 1370.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo39146 denovo39146  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo40399 denovo40399  99.28  0  0   2 276 1362.0 C21.6_HQ630873 C
denovo19299 denovo19299  98.94  0  0   3 283 1388.0 C42_AY765402 C
denovo9520 denovo9520  93.36  3  2  12 256 1090.0 A114_AF184941;A134_DQ174723 A
denovo38229 denovo38229  99.28  0  0   2 276 1362.0 C21.2_JF683324 C
denovo8432 denovo8432  99.63  0  0   1 271 1346.0 D1_AF334660 D
denovo28050 denovo28050 100.00  0  0   0 283 1415.0 C1c/C45_AY239364 C
denovo12049 denovo12049  99.32  0  0   2 294 1452.0 F5.2b_AM748595 F
denovo17676 denovo17676  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo35641 denovo35641  97.53  0  0   7 283 1352.0 C15_AY239369 C
denovo40542 denovo40542  99.63  0  0   1 271 1346.0 D1a_JN558078 D
denovo19421 denovo19421 100.00  0  0   0 271 1355.0 D120_EU074900 D
denovo31885 denovo31885  97.87  0  0   6 282 1356.0 C1b/C1e_AY239363 C
denovo31880 denovo31880  99.65  0  0   1 283 1406.0 C15.2_FJ461509 C
denovo31883 denovo31883  95.20  1  2  10 271 1074.5 D1_AF334660;D108_AF174567 D
denovo39506 denovo39506 100.00  0  0   0 255 1275.0 A1.4_HE578977 A
denovo20106 denovo20106  99.29  0  1   1 283 1324.5 C3_AB778606 C
denovo10294 denovo10294  99.29  0  0   2 283 1397.0 C91_AJ621543 C
denovo13219 denovo13219  98.36  0  0   5 304 1475.0 F114_AJ291525 F
denovo1562 denovo1562  98.59  1  0   3 283 1376.5 C15.4_FJ461511 C
denovo36725 denovo36725  98.23  1  0   4 283 1367.5 C15_AY239369;C15.1_FJ461508 C
denovo9309 denovo9309  98.23  0  0   5 283 1370.0 C3_AB778606 C
denovo9308 denovo9308 100.00  0  0   0 280 1400.0 C31_AY258496 C
denovo36947 denovo36947  97.53  0  1   6 283 1345.5 C1094_AJ291514;C15_AY239369;C93a_AM748563 C
denovo14781 denovo14781  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo24298 denovo24298  98.53  1  0   3 272 1306.0 C15_AY239369 C
denovo34510 denovo34510  98.94  0  1   2 283 1381.5 C15_AY239369;C15.2_FJ461509 C
denovo38081 denovo38081  98.59  0  0   4 283 1379.0 C15a_AY258476 C
denovo37575 denovo37575  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo2251 denovo2251  97.53  0  0   7 283 1352.0 C1_JN558041;C45.3_FJ461522 C
denovo30369 denovo30369  97.53  0  0   7 283 1352.0 C1_JN558041;C45.3_FJ461522 C
denovo13292 denovo13292  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo24628 denovo24628 100.00  0  0   0 287 1435.0 G100_AB253788 G
denovo5569 denovo5569  98.94  0  1   2 283 1376.0 C42_AY258487;C42_AY765402 C
denovo19032 denovo19032 100.00  0  0   0 304 1520.0 F114_AJ291525 F
denovo37116 denovo37116  98.94  0  0   3 283 1388.0 C1_JN558041;C45.3_FJ461522 C
denovo22178 denovo22178  99.65  0  1   0 283 1399.5 C42_AY258487 C
denovo22179 denovo22179  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo17913 denovo17913 100.00  0  0   0 255 1275.0 A1_AF333505 A
denovo17910 denovo17910  98.94  0  1   2 283 1321.0 C3_AB778606;C131_JF320826;C3.16_EU786015 C
denovo17911 denovo17911  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo40908 denovo40908  99.65  0  0   1 283 1406.0 C15_AY239369 C
denovo40907 denovo40907  98.59  0  0   4 283 1379.0 C3_AB778606;C1.v1a_FJ919243 C
denovo3127 denovo3127  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo41056 denovo41056  97.62  0  0   6 252 1206.0 A5_AF333508 A
denovo18745 denovo18745  99.65  0  0   1 283 1406.0 C1094_AJ291514;C15_AY239369;C93a_AM748563 C
denovo16141 denovo16141  98.59  0  0   4 283 1379.0 C15a_AY258476 C
denovo18126 denovo18126  98.59  0  0   4 283 1379.0 C3k_AY589737 C
denovo18125 denovo18125  98.59  1  0   3 283 1376.5 C15_AY239369 C
denovo31931 denovo31931  99.29  1  0   1 283 1395.5 C15.9_FN563475 C
denovo31423 denovo31423 100.00  0  0   0 294 1470.0 F5.2_AM748594 F
denovo13360 denovo13360  97.53  0  0   7 283 1352.0 C1_JN558041 C
denovo1458 denovo1458  97.88  0  1   5 283 1316.0 C3k_AY589737 C
denovo20709 denovo20709  99.61  0  0   1 256 1271.0 A114_AF184941 A
denovo1566 denovo1566 100.00  0  0   0 294 1470.0 F5.1a_AM748591 F
denovo1550 denovo1550 100.00  0  0   0 271 1355.0 D1_AF334660 D
denovo26054 denovo26054  99.65  0  0   1 283 1406.0 C42_AY258487 C
denovo8469 denovo8469  96.47  0  0   9 255 1194.0 A4_AF333509 A
denovo8602 denovo8602  98.23  0  1   4 283 1325.0 C3k_AY589737 C
denovo24833 denovo24833  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo29377 denovo29377 100.00  0  0   0 283 1415.0 C42_AY765402 C
denovo13795 denovo13795  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo13793 denovo13793  95.05  0  0  14 283 1289.0 C15_AY239369 C
denovo20105 denovo20105  99.26  1  0   1 271 1335.0 D1_AF334660 D
denovo18842 denovo18842  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo40414 denovo40414  98.82  0  0   3 255 1248.0 A4_AF333509 A
denovo10436 denovo10436  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo40743 denovo40743  99.20  0  0   2 251 1237.0 A6_AF186058 A
denovo6218 denovo6218  99.60  0  0   1 251 1246.0 A6_AF186058 A
denovo3610 denovo3610  96.26  0  0  11 294 1371.0 F5.1a_AM748591;F5.1_AM748592;F5.1c_AM748593 F
denovo13558 denovo13558  99.29  0  0   2 283 1397.0 C1_JN558041;C1m_AY765398;C1003_DQ480639 C
denovo11564 denovo11564  99.00  0  0   3 299 1468.0 F3.2a_AM748568 F
denovo5461 denovo5461  98.59  1  0   3 283 1376.5 C15.6_FN563472 C
denovo31085 denovo31085  98.04  0  0   5 255 1230.0 A4_AF333509 A
denovo38865 denovo38865  96.41  1  0  10 306 1429.0 I4_FN561562 I
denovo7337 denovo7337  99.64  1  0   0 276 1369.0 C21/3d/C3k_AY239372 C
denovo13451 denovo13451  98.94  0  1   2 283 1326.5 C3_AB778606;C131_JF320826;C3.16_EU786015 C
denovo11711 denovo11711  99.29  0  0   2 283 1397.0 C1_JN558041 C
denovo31620 denovo31620  96.66  0  1   9 299 1393.0 F3.2_AM748567 F
denovo37469 denovo37469  97.88  0  0   6 283 1361.0 C1_JN558041;C45.3_FJ461522 C
denovo8230 denovo8230  98.04  0  0   5 255 1230.0 A113_AF184948 A
denovo20026 denovo20026  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo38288 denovo38288  97.53  0  0   7 283 1352.0 C1j_AY589732 C
denovo38402 denovo38402  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo10687 denovo10687  99.65  0  0   1 283 1406.0 C1d_AY258488 C
denovo10686 denovo10686  98.94  0  0   3 283 1388.0 C3k_AY589737 C
denovo2863 denovo2863  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo2868 denovo2868  99.61  0  0   1 256 1271.0 A101_AF427468 A
denovo4420 denovo4420  99.29  0  0   2 280 1382.0 C31_AY258496 C
denovo40522 denovo40522  99.65  0  0   1 283 1406.0 C3_AB778606;C1.v1a_FJ919243 C
denovo40521 denovo40521  97.88  0  0   6 283 1361.0 C15_AY239369 C
denovo40520 denovo40520  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo41347 denovo41347 100.00  0  0   0 283 1415.0 C42_AY258487 C
denovo41348 denovo41348 100.00  0  0   0 276 1380.0 C32.1_JF683335 C
denovo20751 denovo20751  98.59  1  0   3 283 1376.5 C15_AY239369 C
denovo24667 denovo24667  99.63  0  0   1 271 1346.0 D1a_JN558078 D
denovo4157 denovo4157  91.97  1  4  19 299 1235.0 F3.2a_AM748568 F
denovo26002 denovo26002  90.97  3  3  21 299 1216.5 F3.2a_AM748568;F3.2_AM748567 F
denovo4218 denovo4218  98.91  0  0   3 276 1353.0 C21.11_HQ630874 C
denovo5012 denovo5012 100.00  0  0   0 261 1305.0 D2_AY686649 D
denovo38009 denovo38009  99.64  0  0   1 276 1371.0 C21/3d/C3k_AY239372 C
denovo15095 denovo15095  97.42  1  2   4 271 1128.5 D1_AF334660;D108_AF174567 D
denovo14050 denovo14050  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo21906 denovo21906  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo22 denovo22  97.22  0  0   7 252 1197.0 A5_AF333508 A
denovo6665 denovo6665  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo6668 denovo6668  99.29  0  0   2 280 1382.0 C31_AY258496 C
denovo25928 denovo25928  99.62  0  0   1 261 1296.0 D2_AY686649 D
denovo25927 denovo25927 100.00  0  0   0 283 1415.0 C3_AB778606 C
denovo28832 denovo28832  98.59  0  0   4 283 1379.0 C1_JN558041;C45.3_FJ461522 C
denovo30808 denovo30808  99.63  0  0   1 271 1346.0 D1a_JN558078 D
denovo13900 denovo13900  99.30  0  0   2 287 1417.0 G100_AB253788 G
denovo4297 denovo4297  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo7017 denovo7017 100.00  0  0   0 283 1415.0 C91_AJ621543 C
denovo32894 denovo32894  97.53  0  0   7 283 1352.0 C1_JN558041;C45.3_FJ461522 C
denovo4057 denovo4057  98.59  0  0   4 283 1379.0 C3k_AY589737 C
denovo18277 denovo18277  98.26  0  0   5 287 1390.0 G3.3_LK392377;G3.1_KC597688 G
denovo2049 denovo2049 100.00  0  0   0 280 1400.0 C31a_AY589746 C
denovo2048 denovo2048 100.00  0  0   0 271 1355.0 D1a.1_JF683338 D
denovo8110 denovo8110  99.29  0  0   2 283 1397.0 C1232_EU118163 C
denovo41179 denovo41179  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo40745 denovo40745  98.94  1  0   2 282 1381.5 C3.1_JF683321 C
denovo40910 denovo40910  99.65  0  0   1 283 1406.0 C42_AY258487 C
denovo29642 denovo29642  98.23  0  0   5 283 1370.0 C1_JN558041;C45.3_FJ461522 C
denovo7288 denovo7288  97.28  0  0   8 294 1398.0 F5.2c_AM748596;F5.2b_AM748595;F5.2g_JN558072 F
denovo34327 denovo34327  98.23  1  1   3 283 1355.5 C15_AY239369 C
denovo9294 denovo9294  99.29  0  1   1 283 1385.0 C42_AY258487 C
denovo6058 denovo6058  98.41  0  0   4 252 1224.0 A121_DQ174722 A
denovo6056 denovo6056 100.00  0  0   0 271 1355.0 D1_AF334660 D
denovo6057 denovo6057  99.65  0  0   1 283 1406.0 C1232_EU118163 C
denovo25608 denovo25608  99.29  0  0   2 280 1382.0 C31_AY258496;C31a_AY589746 C
denovo11182 denovo11182  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo19579 denovo19579  98.23  0  0   5 283 1370.0 C1_JN558041;C45.3_FJ461522;C1041_AY186548 C
denovo32427 denovo32427  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo35195 denovo35195 100.00  0  0   0 276 1380.0 C32.2_JF683336 C
