Coral_Species,Coral_Tag,Site,Disturbance_Level,ord_sample_2,Notes,
F. pentagona,1034,40,High,NA,,
F. pentagona,1037,40,High,NA,,
F. pentagona,1050,40,High,NA,,
F. pentagona,412_892,25,High,KI14FSYM412,,
F. pentagona,482_897,32,VeryHigh,KI14FSYM307,,
F. pentagona,482_897b,32,VeryHigh,NA,,
F. pentagona,497_745,32,VeryHigh,KI15bFSYM194,,
F. pentagona,631b,15,VeryLow,NA,,
F. pentagona,500,32,VeryHigh,KI14FSYM321,,
F. pentagona,902,32,VeryHigh,NA,,
P. ryukyuensis,19,38,Low,KI14FSYM019,"Only 500 reads, will get removed",
P. ryukyuensis,62,8,Medium,KI15aFSYM116,,
P. ryukyuensis,99,35,Medium,KI15bFSYM023,,
P. ryukyuensis,148,30,VeryHigh,KI14FSYM148,,
P. ryukyuensis,157,3,High,KI14FSYM148,,
P. ryukyuensis,161,3,Low,KI14FSYM161,,
P. ryukyuensis,164,3,Low,KI14FSYM164,,
P. ryukyuensis,223,3,Low,KI14FSYM223,,
P. ryukyuensis,234,3,Low,KI14FSYM234,,
P. ryukyuensis,242,8,Medium,KI14FSYM242,,
P. ryukyuensis,253,8,Medium,KI15bFSYM164,,
P. ryukyuensis,258,27,VeryHigh,KI14FSYM258,,
P. ryukyuensis,266,27,VeryHigh,KI14FSYM266,,
P. ryukyuensis,278,14,Medium,KI14FSYM278,,
P. ryukyuensis,289,14,Medium,KI14FSYM289,,
P. ryukyuensis,299,14,Medium,KI14FSYM299,,
P. ryukyuensis,306,14,Medium,KI14FSYM306,,
P. ryukyuensis,311,34,Medium,KI14FSYM311,,
P. ryukyuensis,328,34,Medium,KI15bFSYM255,,
P. ryukyuensis,351,34,Medium,KI14FSYM351,,
P. ryukyuensis,353,34,Medium,KI15bFSYM263,,
P. ryukyuensis,371,25,High,KI14FSYM371,,
P. ryukyuensis,379,25,High,KI14FSYM379,,
P. ryukyuensis,389,30,VeryHigh,KI15bFSYM131,,
P. ryukyuensis,402,25,High,KI14FSYM402,,
P. ryukyuensis,442,30,VeryHigh,KI15bFSYM069,,
P. ryukyuensis,447,27,VeryHigh,KI14FSYM447,,
P. ryukyuensis,455,27,VeryHigh,KI14FSYM292,2015a more recent but < 1000 reads,
P. ryukyuensis,461,27,VeryHigh,KI14FSYM461,,
P. ryukyuensis,466,27,VeryHigh,KI15bFSYM140,,
P. ryukyuensis,470,27,VeryHigh,KI15bFSYM138,,
P. ryukyuensis,479,32,VeryHigh,KI14FSYM479,,
P. ryukyuensis,504,14,Medium,KI14FSYM504,,
P. ryukyuensis,594,15,VeryLow,KI15aFSYM043,,
P. ryukyuensis,618,15,VeryLow,KI15aFSYM067,,
P. ryukyuensis,637,35,Medium,KI15bFSYM020,,
P. ryukyuensis,727,27,VeryHigh,KI15bFSYM205,,
P. ryukyuensis,735,27,VeryHigh,KI15bFSYM213,,
P. ryukyuensis,742,32,VeryHigh,KI15bFSYM219,,
P. ryukyuensis,762,32,VeryHigh,KI15bFSYM239,,
P. ryukyuensis,766,32,VeryHigh,KI15bFSYM243,,
P. ryukyuensis,768,32,VeryHigh,KI15bFSYM245,,
P. ryukyuensis,783,34,Medium,KI15bFSYM279,,
P. ryukyuensis,788,5,VeryLow,KI15bFSYM284,,
P. ryukyuensis,792,5,VeryLow,KI15bFSYM288,,
P. ryukyuensis,797,5,VeryLow,KI15bFSYM293,,
P. ryukyuensis,807,5,VeryLow,KI15bFSYM303,,
P. ryukyuensis,813,5,VeryLow,KI15bFSYM309,,
P. ryukyuensis,820,5,VeryLow,KI15bFSYM316,,
P. ryukyuensis,824,5,VeryLow,KI15bFSYM320,,
P. ryukyuensis,850,34,Medium,KI15bFSYM346,,
P. ryukyuensis,857,34,Medium,KI15bFSYM353,,
P. ryukyuensis,906,8,Medium,NA,,
P. ryukyuensis,909,8,Medium,NA,,
P. ryukyuensis,914,8,Medium,NA,,
P. ryukyuensis,919,8,Medium,NA,,
P. ryukyuensis,925,35,Medium,NA,,
P. ryukyuensis,928,35,Medium,NA,,
P. ryukyuensis,933,35,Medium,NA,,
P. ryukyuensis,1008,37,VeryLow,NA,,
P. ryukyuensis,1013,37,VeryLow,NA,,
P. ryukyuensis,1017,37,VeryLow,NA,,
P. ryukyuensis,1020,37,VeryLow,NA,,
P. ryukyuensis,1022,37,VeryLow,NA,,
P. ryukyuensis,1023,37,VeryLow,NA,,
P. ryukyuensis,1024,37,VeryLow,NA,,
P. ryukyuensis,1028,37,VeryLow,NA,,
P. ryukyuensis,1030,37,VeryLow,NA,,
P. ryukyuensis,1031,37,VeryLow,NA,,
P. ryukyuensis,1036,40,High,NA,,
P. ryukyuensis,1049,40,High,NA,,
P. ryukyuensis,1055,40,High,NA,,
P. ryukyuensis,1011b,37,VeryLow,NA,,
P. ryukyuensis,248_696,8,Medium,KI15bFSYM179,,
P. ryukyuensis,338_1168,34,Medium,KI14FSYM338,,
P. ryukyuensis,410_893,25,High,KI14FSYM410,,
P. ryukyuensis,486_740,32,VeryHigh,KI15bFSYM188,,
P. ryukyuensis,612_1270,15,VeryLow,KI15aFSYM052,,
P. ryukyuensis,754_899,32,VeryHigh,KI15bFSYM231,,
